SK_DIM_DATE,DSS_LOAD_DATE,DSS_LAST_UPDATED_DATE,DATE,FULLDATEAUS,FULLDATEUSA,DAYOFMONTH,DAYNAME,MONTH,QUARTER,YEAR,FIRSTDAYOFMONTH,LASTDAYOFMONTH,FIRSTDAYOFQUARTER,LASTDAYOFQUARTER,FIRSTDAYOFYEAR,LASTDAYOFYEAR,ISWEEKDAY,ISNATIONALHOLIDAY,NATIONALHOLIDAY
20200208,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-08,08/02/2020,02/08/2020,8,Saturday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200209,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-09,09/02/2020,02/09/2020,9,Sunday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200210,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-10,10/02/2020,02/10/2020,10,Monday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200211,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-11,11/02/2020,02/11/2020,11,Tuesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200212,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-12,12/02/2020,02/12/2020,12,Wednesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200213,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-13,13/02/2020,02/13/2020,13,Thursday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200214,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-14,14/02/2020,02/14/2020,14,Friday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200215,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-15,15/02/2020,02/15/2020,15,Saturday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200216,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-16,16/02/2020,02/16/2020,16,Sunday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200217,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-17,17/02/2020,02/17/2020,17,Monday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200218,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-18,18/02/2020,02/18/2020,18,Tuesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200219,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-19,19/02/2020,02/19/2020,19,Wednesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200220,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-20,20/02/2020,02/20/2020,20,Thursday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200221,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-21,21/02/2020,02/21/2020,21,Friday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200222,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-22,22/02/2020,02/22/2020,22,Saturday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200223,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-23,23/02/2020,02/23/2020,23,Sunday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200224,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-24,24/02/2020,02/24/2020,24,Monday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200225,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-25,25/02/2020,02/25/2020,25,Tuesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200226,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-26,26/02/2020,02/26/2020,26,Wednesday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200227,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-27,27/02/2020,02/27/2020,27,Thursday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200228,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-28,28/02/2020,02/28/2020,28,Friday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200229,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-02-29,29/02/2020,02/29/2020,29,Saturday,2,1,2020,2020-02-01,2020-02-29,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200301,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-01,01/03/2020,03/01/2020,1,Sunday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200302,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-02,02/03/2020,03/02/2020,2,Monday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200303,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-03,03/03/2020,03/03/2020,3,Tuesday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200304,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-04,04/03/2020,03/04/2020,4,Wednesday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200305,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-05,05/03/2020,03/05/2020,5,Thursday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200306,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-06,06/03/2020,03/06/2020,6,Friday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200307,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-07,07/03/2020,03/07/2020,7,Saturday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200308,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-08,08/03/2020,03/08/2020,8,Sunday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200309,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-09,09/03/2020,03/09/2020,9,Monday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200310,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-10,10/03/2020,03/10/2020,10,Tuesday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200311,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-11,11/03/2020,03/11/2020,11,Wednesday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200312,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-12,12/03/2020,03/12/2020,12,Thursday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200313,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-13,13/03/2020,03/13/2020,13,Friday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200314,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-14,14/03/2020,03/14/2020,14,Saturday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200315,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-15,15/03/2020,03/15/2020,15,Sunday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200316,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-16,16/03/2020,03/16/2020,16,Monday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200317,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-17,17/03/2020,03/17/2020,17,Tuesday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200318,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-18,18/03/2020,03/18/2020,18,Wednesday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200319,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-19,19/03/2020,03/19/2020,19,Thursday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200320,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-20,20/03/2020,03/20/2020,20,Friday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200321,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-21,21/03/2020,03/21/2020,21,Saturday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200322,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-22,22/03/2020,03/22/2020,22,Sunday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200323,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-23,23/03/2020,03/23/2020,23,Monday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200324,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-24,24/03/2020,03/24/2020,24,Tuesday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200325,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-25,25/03/2020,03/25/2020,25,Wednesday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200326,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-26,26/03/2020,03/26/2020,26,Thursday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200327,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-27,27/03/2020,03/27/2020,27,Friday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200328,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-28,28/03/2020,03/28/2020,28,Saturday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200329,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-29,29/03/2020,03/29/2020,29,Sunday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,0,0,N/A
20200330,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-30,30/03/2020,03/30/2020,30,Monday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200331,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-03-31,31/03/2020,03/31/2020,31,Tuesday,3,1,2020,2020-03-01,2020-03-31,2020-01-01,2020-03-31,2020-01-01,2020-12-31,1,0,N/A
20200401,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-01,01/04/2020,04/01/2020,1,Wednesday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,0,N/A
20200402,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-02,02/04/2020,04/02/2020,2,Thursday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,0,N/A
20200403,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-03,03/04/2020,04/03/2020,3,Friday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,0,N/A
20200404,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-04,04/04/2020,04/04/2020,4,Saturday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,0,0,N/A
20200405,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-05,05/04/2020,04/05/2020,5,Sunday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,0,0,N/A
20200406,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-06,06/04/2020,04/06/2020,6,Monday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,0,N/A
20200407,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-07,07/04/2020,04/07/2020,7,Tuesday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,0,N/A
20200408,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-08,08/04/2020,04/08/2020,8,Wednesday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,0,N/A
20200409,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-09,09/04/2020,04/09/2020,9,Thursday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,0,N/A
20200410,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-10,10/04/2020,04/10/2020,10,Friday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,1,Good Friday
20200411,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-11,11/04/2020,04/11/2020,11,Saturday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,0,0,N/A
20200412,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-12,12/04/2020,04/12/2020,12,Sunday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,0,1,Easter Sunday
20200413,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-13,13/04/2020,04/13/2020,13,Monday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,1,Easter Monday
20200414,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-14,14/04/2020,04/14/2020,14,Tuesday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,0,N/A
20200415,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-15,15/04/2020,04/15/2020,15,Wednesday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,0,N/A
20200416,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-16,16/04/2020,04/16/2020,16,Thursday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,0,N/A
20200417,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-17,17/04/2020,04/17/2020,17,Friday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,0,N/A
20200418,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-18,18/04/2020,04/18/2020,18,Saturday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,0,0,N/A
20200419,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-19,19/04/2020,04/19/2020,19,Sunday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,0,0,N/A
20200420,2021-04-23 00:00:00.000,2021-04-23 00:00:00.000,2020-04-20,20/04/2020,04/20/2020,20,Monday,4,2,2020,2020-04-01,2020-04-30,2020-04-01,2020-06-30,2020-01-01,2020-12-31,1,0,N/A
